Overall: [SUCCESS: 41, SUCCESS_SYMB: 41, SUCCESS_TRANS: 220, FAILURE: 172, STARTED_TEST_CASES: 249, SKIPPED: 15, DEFINITIONS: 1, IGNORE: 48, MISSING: 27, ERROR: 9] for test expression: (#LHS)-(#RHS)
[Simple Simplify: ON, EXPonential Conversion (ConvEXP): ON, HYPergeometric Conversion (ConvHYP): ON, Expansion (EXP): ON, Expansion via EXP (EXP+EXP): ON, Expansion via HYP (EXP+HYP): ON]
7280-a [http://dlmf.nist.gov/22.8.E27]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7281 [http://dlmf.nist.gov/22.9.E1]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7282 [http://dlmf.nist.gov/22.9.E2]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7283 [http://dlmf.nist.gov/22.9.E3]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7284 [http://dlmf.nist.gov/22.9.E4]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7285 [http://dlmf.nist.gov/22.9.E5]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7286 [http://dlmf.nist.gov/22.9.E6]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7287 [http://dlmf.nist.gov/22.9.E7]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7314 [http://dlmf.nist.gov/22.11.E2]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7315 [http://dlmf.nist.gov/22.11.E3]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7316 [http://dlmf.nist.gov/22.11.E4]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7317 [http://dlmf.nist.gov/22.11.E5]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7318 [http://dlmf.nist.gov/22.11.E6]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7319 [http://dlmf.nist.gov/22.11.E7]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7320 [http://dlmf.nist.gov/22.11.E8]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7321 [http://dlmf.nist.gov/22.11.E9]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7322 [http://dlmf.nist.gov/22.11.E10]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7323 [http://dlmf.nist.gov/22.11.E11]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7324 [http://dlmf.nist.gov/22.11.E12]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7325 [http://dlmf.nist.gov/22.11.E13]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7326 [http://dlmf.nist.gov/22.11.E14]: Error - java.lang.IllegalArgumentException: Error in CAS! [7326: k^{2}\Jacobiellsnk^{2}@{z}{k} EQUAL \frac{\ccompellintEk@@{k}}{\ccompellintKk@@{k}}-\left(\frac{\pi}{2\!\ccompellintKk}\right)^{2}\sum_{n=-\infty}^{\infty}\left(\sech^{2}@{\frac{\pi}{2\!\ccompellintKk@@{k}}(z-2n\!\compellintKk@@{k})}\right); http://dlmf.nist.gov/22.11.E14]
7327 [http://dlmf.nist.gov/22.12.E1]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7328 [http://dlmf.nist.gov/22.12.E2]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7328-a [http://dlmf.nist.gov/22.12.E2]: Error - java.lang.IllegalArgumentException: Error in CAS! [7328: \sum_{n=-\infty}^{\infty}\frac{\pi}{\sin@{\pi(t-(n+\frac{1}{2})\tau)}} EQUAL \sum_{n=-\infty}^{\infty}\left(\sum_{m=-\infty}^{\infty}\frac{(-1)^{m}}{t-m-(n+\frac{1}{2})\tau}\right); http://dlmf.nist.gov/22.12.E2]
7329 [http://dlmf.nist.gov/22.12.E3]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7329-a [http://dlmf.nist.gov/22.12.E3]: Error - java.lang.IllegalArgumentException: Error in CAS! [7329: \sum_{n=-\infty}^{\infty}\frac{(-1)^{n}\pi}{\sin@{\pi(t-(n+\frac{1}{2})\tau)}} EQUAL \sum_{n=-\infty}^{\infty}\left(\sum_{m=-\infty}^{\infty}\frac{(-1)^{m+n}}{t-m-(n+\frac{1}{2})\tau}\right); http://dlmf.nist.gov/22.12.E3]
7334 [http://dlmf.nist.gov/22.12.E8]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7334-a [http://dlmf.nist.gov/22.12.E8]: Error - java.lang.IllegalArgumentException: Error in CAS! [7334: \sum_{n=-\infty}^{\infty}\frac{\pi}{\sin@{\pi(t+\frac{1}{2}-n\tau)}} EQUAL \sum_{n=-\infty}^{\infty}\left(\sum_{m=-\infty}^{\infty}\frac{(-1)^{m}}{t+\frac{1}{2}-m-n\tau}\right); http://dlmf.nist.gov/22.12.E8]
7335 [http://dlmf.nist.gov/22.12.E9]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7335-a [http://dlmf.nist.gov/22.12.E9]: Error - java.lang.IllegalArgumentException: Error in CAS! [7335: \sum_{n=-\infty}^{\infty}\frac{(-1)^{n}\pi}{\sin@{\pi(t+\frac{1}{2}-n\tau)}} EQUAL \sum_{n=-\infty}^{\infty}\left(\sum_{m=-\infty}^{\infty}\frac{(-1)^{m+n}}{t+\frac{1}{2}-m-n\tau}\right); http://dlmf.nist.gov/22.12.E9]
7337 [http://dlmf.nist.gov/22.12.E11]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7337-a [http://dlmf.nist.gov/22.12.E11]: Error - java.lang.IllegalArgumentException: Error in CAS! [7337: \sum_{n=-\infty}^{\infty}\frac{\pi}{\sin@{\pi(t-n\tau)}} EQUAL \sum_{n=-\infty}^{\infty}\left(\sum_{m=-\infty}^{\infty}\frac{(-1)^{m}}{t-m-n\tau}\right); http://dlmf.nist.gov/22.12.E11]
7338 [http://dlmf.nist.gov/22.12.E12]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7338-a [http://dlmf.nist.gov/22.12.E12]: Error - java.lang.IllegalArgumentException: Error in CAS! [7338: \sum_{n=-\infty}^{\infty}\frac{(-1)^{n}\pi}{\sin@{\pi(t-n\tau)}} EQUAL \sum_{n=-\infty}^{\infty}\left(\sum_{m=-\infty}^{\infty}\frac{(-1)^{m+n}}{t-m-n\tau}\right); http://dlmf.nist.gov/22.12.E12]
7340 [http://dlmf.nist.gov/22.13.E1]: Successful [Simple: 0, ConvEXP: 0, ConvHYP: 0, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7341 [http://dlmf.nist.gov/22.13.E2]: Successful [Simple: 0, ConvEXP: 0, ConvHYP: 0, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7342 [http://dlmf.nist.gov/22.13.E3]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
7343 [http://dlmf.nist.gov/22.13.E4]: Successful [Simple: 0, ConvEXP: 0, ConvHYP: 0, EXP: 0, EXP+EXP: 0, EXP+HYP: 0]
7344 [http://dlmf.nist.gov/22.13.E5]: Failure [Simple: NaN, ConvEXP: NaN, ConvHYP: NaN, EXP: NaN, EXP+EXP: NaN, EXP+HYP: NaN]
