DLMF;Mathematica;DLMF-Mathematica-Comment;Mathematica-Alternatives
\modMathieuGe{n}@@{z}{q};;;
\modMathieuM{j}{\nu}@@{z}{h};;;
\modMathieuIe{n}@@{z}{h};;;
\modMathieuIo{n}@@{z}{h};;;
\modMathieuKe{n}@@{z}{h};;;
\modMathieuKo{n}@@{z}{h};;;
\radMathieuMc{j}{n}@@{z}{h};;;
\radMathieuMs{j}{n}@@{z}{h};;;
\Mathieufe{n}@@{z}{q};;;
\Mathieuge{n}@@{z}{q};;;
\modMathieuD{j}@{\nu}{\mu}{z};;;
\radMathieuDs{j}@{n}{m}{z};;;
\radMathieuDc{j}@{n}{m}{z};;;
\radMathieuDsc{j}@{n}{m}{z};;;
\MathieuFc{m}@{z}{h};;;
\MathieuFs{m}@{z}{h};;;
\MathieuGc{m}@{z}{h};;;
\MathieuGs{m}@{z}{h};;;
;;;
;;;
;;;
\MeijerG{m}{n}{p}{q}@@@{z}{\Vector{a}}{\Vector{b}};;;
;;;
\MillsM@{x};;;Exp[Power[$0,2]] Int[Exp[-t^2], {t, $0, Infinity}]
;;;
\modularlambdatau@{\tau};ModularLambda[$0];;
\KleincompinvarJtau@{\tau};KleinInvariantJ[$0];;
\Dedekindeta@{\tau};DedekindEta[$0];;
;;;
\Pade{p}{q}{f}@{z};PadeApproximant[$2, {$3, 0, {$0, $1}}];;
;;;
\Ramanujansum{k}@{n};;;
\Ramanujantau@{n};RamanujanTau[$0];;
;;;
\Rayleighsigma{n}@{\nu};;;
;;;
\Riemanntheta@{\Vector{z}}{\Matrix{\Omega}};;;
\Riemannthetachar{\Vector{\alpha}}{\Vector{\beta}}@{\Vector{z}}{\Matrix{\Omega}};;;
\scRiemanntheta@{\Vector{z}}{\Matrix{\Omega}};;;
\Riemannxi@{s};RiemannXi[$0];;
\Riemannzeta@{s};Zeta[$0];;
;;;
\ScorerGi@{z};ScorerGi[$0];;
\ScorerHi@{z};ScorerHi[$0];;
;;;
\spheigvalLambda{m}{n}@{\gamma^2};;;
\sphwavePsreal{m}{n}@{x}{\gamma^2};;;
\sphwaveQsreal{m}{n}@{x}{\gamma^2};;;
\sphwavePs{m}{n}@{z}{\gamma^2};;;
\sphwaveQs{m}{n}@{z}{\gamma^2};;;
\radsphwaveS{m}{j}{n}@{z}{\gamma};SpheroidalS$1[$2, $0, $3, $4];;
;;;
\Stirlingnumbers@{n}{k};StirlingS1[$0, $1];;
\StirlingnumberS@{n}{k};StirlingS2[$0, $1];;
;;;
\StruveH{\nu}@{z};StruveH[$0, $1];;
